HeronIsland-Salinity(practical salinity units),HeronIsland-Water Temperature(degrees celsius),HeronIsland-Water Pressure(decibar),LadyMusgrave-Water Temperature (degrees celsius)
35.7097,26.574,5.8104,27.3097
35.7019,26.7307,5.8335,27.2353
35.694,26.7914,5.8478,27.2256
35.6683,26.6269,5.8795,27.1972
35.6864,26.6728,5.9062,27.2292
35.6735,27.0761,5.9164,27.3969
35.5822,27.0191,5.879,27.4177
35.5693,26.6934,5.8412,27.116
35.621,27.1905,5.8086,27.3713
35.6129,27.4313,5.7406,27.3305
35.6205,27.6714,5.7256,27.3182
35.7008,27.7281,5.7249,27.2504
35.713,27.6904,5.7204,27.3985
35.7141,27.7204,5.6926,27.2421
35.7093,27.5872,5.6862,27.0194
35.7234,27.5103,5.7023,27.0108
35.7419,27.2672,5.6889,27.074
35.7557,27.2454,5.6609,26.9846
35.7577,27.2188,5.6386,26.8902
35.7333,27.1996,5.6219,26.8979
35.7315,27.2078,5.8798,26.8238
35.7138,26.6812,5.711,26.73
35.7239,26.4909,5.7362,26.854
35.7379,26.1875,5.7177,26.7805
35.7535,26.0218,5.7123,26.9646
35.7415,25.9016,5.6913,26.6613
35.7131,26.6498,5.6342,26.6764
35.6772,26.7168,5.6134,26.6476
35.6756,26.398,5.6306,26.4586
35.6597,26.3933,5.6282,26.4283
35.6785,26.4961,5.6763,26.3901
35.6621,26.4763,5.707,26.1009
35.6572,26.5328,5.7297,26.2046
35.6597,26.569,5.7104,26.3
35.6415,26.5886,5.7081,26.5045
35.6229,26.6219,5.6894,26.445
35.6118,26.4344,5.6854,26.2515
35.5564,26.1798,5.6964,26.1251
35.5108,25.9797,5.7135,26.1145
35.687,26.321,5.7186,26.2466
35.7063,26.2153,5.7367,26.204
35.7551,25.5055,5.7734,26.1391
